,reportDate,dj_id,icb_sectorl1,icb_sectorl3,vol,is_selected
895,2019-06-04,FR705I,4000,4530,0.321799295310617,N
894,2019-06-04,DE7086,9000,9530,0.330566020984455,N
893,2019-06-04,DE70A8,4000,4570,0.447358832659425,N
892,2019-06-04,DE7075,8000,8630,0.191982276496067,Y
891,2019-06-04,DE7053,5000,5330,0.317779051360837,N
890,2019-06-04,DE7042,5000,5370,0.379141350674934,N
889,2019-06-04,FR702F,9000,9530,0.503143506917176,N
888,2019-06-04,DE7020,4000,4530,0.279700568649512,N
887,2019-06-04,DE6030,8000,8770,0.326726290992668,N
886,2019-06-04,DE6041,7000,7570,0.0835240995066091,Y
884,2019-06-04,NL606K,5000,5370,0.412986950057433,N
753,2019-06-04,B0M7KJ,5000,5550,0.351144003724351,N
865,2019-06-04,DE4061,5000,5370,0.465709173540028,N
863,2019-06-04,IT404J,8000,8350,0.291584377465996,N
843,2019-06-04,IT101D,4000,4530,0.33514047405381,N
842,2019-06-04,IE102Z,3000,3570,0.280343582128175,N
841,2019-06-04,BE106W,4000,4570,0.402971614283325,N
840,2019-06-04,BE105V,8000,8670,0.185599674932048,Y
839,2019-06-04,IT002D,2000,2750,0.294547073112997,N
838,2019-06-04,440044,3000,3350,0.472441454604852,N
837,2019-06-04,471310,7000,7570,0.312092111421585,N
836,2019-06-04,ES0017,9000,9530,0.234309694775581,N
835,2019-06-04,EF031,2000,2790,0.271517809709737,N
834,2019-06-04,EG063,1000,1350,0.229613802232904,N
833,2019-06-04,422060,3000,3350,0.327854095209296,N
832,2019-06-04,549913,7000,7530,0.208200730363071,Y
831,2019-06-04,513962,2000,2750,0.240800808035176,N
830,2019-06-04,411232,5000,5750,0.21160429744928,Y
829,2019-06-04,755087,8000,8770,0.161303006524714,Y
844,2019-06-04,IT102E,2000,2750,0.277356962308848,N
864,2019-06-04,NL403F,8000,8570,0.193740744761915,Y
845,2019-06-04,FR1018,9000,9530,0.260464730902417,N
847,2019-06-04,FR103A,4000,4530,0.385913821142369,N
862,2019-06-04,FR407H,2000,2790,0.369089694723885,N
861,2019-06-04,NL402E,1000,1350,0.211363949613095,Y
860,2019-06-04,ES403D,8000,8670,0.172314397687804,Y
859,2019-06-04,FR405F,8000,8770,0.200316232475509,Y
858,2019-06-04,IT402H,3000,3760,0.343576818468328,N
857,2019-06-04,FI3022,2000,2750,0.275700597271713,N
856,2019-06-04,DE3093,4000,4570,0.386470247855267,N
855,2019-06-04,DE3082,8000,8630,0.181083979019218,Y
854,2019-06-04,DE3071,2000,2730,0.502855755776527,N
853,2019-06-04,DE3060,2000,2750,0.401914096173656,N
852,2019-06-04,DE305Z,1000,1350,0.251930984834637,N
851,2019-06-04,DE301V,8000,8630,0.172303506062618,Y
850,2019-06-04,DE2092,6000,6570,0.266205002632996,N
849,2019-06-04,DE2070,8000,8630,0.143853721726191,Y
848,2019-06-04,ES1029,8000,8350,0.268117982469118,N
846,2019-06-04,DE107Z,8000,8630,0.16650196597944,Y
752,2019-06-04,433560,3000,3350,0.38280684914697,N
751,2019-06-04,437915,2000,2710,0.327717796584945,N
750,2019-06-04,774563,8000,8670,0.162123951570577,Y
654,2019-06-04,476776,2000,2710,0.233906899172028,N
653,2019-06-04,476837,2000,2350,0.225064208935847,N
600,2019-06-04,497711,5000,5550,0.175283613928132,Y
601,2019-06-04,750892,2000,2790,0.726203173289918,N
602,2019-06-04,496960,2000,2350,0.301699524281803,N
603,2019-06-04,588171,8000,8770,0.200087980391874,Y
604,2019-06-04,452518,2000,2750,0.279918789099414,N
605,2019-06-04,465975,5000,5370,0.20878123631038,Y
606,2019-06-04,EG7,3000,3350,0.268460564531141,N
607,2019-06-04,494340,1000,1750,0.291350654773388,N
